eturb_m1_steam_flow_in,eturb_m1_steam_flow_side,eturb_m1_electricity_generation,eturb_m2_steam_flow_in,eturb_m2_steam_flow_side,eturb_m2_electricity_generation
0.473333333,0.145,0.080833333,-0.0425,-0.3475,0.019166667
1.111666667,0.130833333,0.108333333,-0.168333333,-0.7225,0.0025
-0.750833333,-0.376666667,-0.039166667,-0.071666667,-0.535,0.01
0.0875,-0.205833333,-0.024166667,-0.2075,-0.04,-0.006666667
-0.395833333,-0.310833333,-0.015,0.683333333,0.043333333,-0.011666667
-3.0825,-1.9075,-0.260833333,0.486666667,0.5175,0.095
-0.24,-0.096666667,-0.021666667,-0.699166667,0.5125,0.024166667
-1.966666667,-0.645,-0.128333333,0.180833333,0.693333333,-0.018333333
0.420833333,0.69,0.005,0.1925,0.0775,0.039166667
-0.2375,0.219166667,0.0125,0.4125,1.030833333,0.030833333
0.4875,0.075833333,0.058333333,-0.125909091,-0.219621212,0.040454545
-0.598333333,-0.273333333,-0.04,0.061742424,0.044621212,0.012045455
0.8275,0.684166667,0.071666667,-0.033333333,-0.38,0.005833333
0.1875,-0.0325,0.020833333,0.126666667,0.61,0.046666667
0.741666667,0.390833333,0.031666667,0.323333333,0.459166667,0.029166667
0.964166667,0.725,0.068333333,0.089166667,0.3525,-0.004166667
-0.429166667,0.184166667,-0.079166667,-0.099393939,0.619166667,-0.086818182
-0.195833333,0.233333333,-0.076666667,0.056060606,0.7675,-0.059848485
0.350833333,0.648333333,-0.005833333,-0.0825,0.2425,-0.065833333
1.91,1.0275,0.1475,-0.193333333,-0.551666667,-0.028333333
-0.635,-0.456666667,-0.0325,-0.008333333,0.231666667,0.0175
-0.539166667,-0.54,-0.085,-0.200833333,-0.3675,-0.055833333
1.068333333,0.410833333,0.156666667,-0.225,-0.463333333,0.02
-1.951666667,-1.441666667,-0.195833333,0.080833333,0.425,0.023333333
-0.683333333,-0.091666667,-0.064166667,0.005,-0.3425,0.03
1.0125,0.463333333,0.110833333,0.005,-0.360833333,0.060833333
