eturb_m1_steam_flow_in,eturb_m2_steam_flow_in,boiler_m1_outlet_steam_flow,boiler_m3_outlet_steam_flow,steampipeline_p1_hp_steam_pressure
81.7775,74.62833333,76.9,76.15,3.073333333
82.25083333,74.58583333,77.31666667,76.25833333,3.069166667
83.3625,74.4175,78.01666667,76.74166667,3.0525
82.61166667,74.34583333,77.5,76.70833333,3.046666667
82.69916667,74.13833333,77.18333333,76.76666667,3.046666667
82.30333333,74.82166667,77.3,76.34166667,3.048
79.22083333,75.30833333,75.51666667,75.06666667,3.071666667
78.98083333,74.60916667,75.05,74.9,3.084166667
77.01416667,74.79,73.84166667,74.23333333,3.113636364
77.435,74.9825,73.18333333,74.39166667,3.134545455
77.1975,75.395,73.29166667,74.75,3.150833333
77.685,75.26909091,72.86666667,74.825,3.166
77.08666667,75.33083333,72.7,75.14166667,3.174166667
77.91416667,75.2975,72.38333333,75.63333333,3.1825
78.10166667,75.42416667,72.41666667,75.91666667,3.1875
78.84333333,75.7475,73.28333333,76.20909091,3.1775
79.8075,75.83666667,74.31666667,76.24166667,3.159166667
79.37833333,75.73727273,74.35833333,75.84166667,3.158181818
79.1825,75.79333333,74.53333333,75.49166667,3.16
79.53333333,75.71083333,75.25,75.35833333,3.155833333
81.44333333,75.5175,76.325,75.73333333,3.14
80.80833333,75.50916667,75.9,75.45,3.138181818
80.26916667,75.30833333,75.55,75.18333333,3.135
81.3375,75.08333333,76.2,75.75,3.113333333
79.38583333,75.16416667,75.19166667,74.68333333,3.125
78.7025,75.16916667,74.84166667,74.35,3.132727273
79.715,75.17416667,75.35833333,74.775,3.125
78.995,75.01916667,74.725,74.65,3.124545455
79.30083333,74.93916667,74.775,74.84166667,3.124166667
79.3575,75.10416667,74.3,75.3,3.1225
79.55916667,74.85333333,74.20833333,75.675,3.116363636
78.80333333,74.8775,73.775,75.35,3.121666667
78.955,74.85083333,74.01666667,75.43333333,3.115454545
78.77583333,74.74,74.075,75.39166667,3.116666667
78.57833333,74.78666667,73.925,75.08181818,3.119166667
79.33416667,74.68166667,74.38333333,75.425,3.115
79.5,74.69,74.375,75.74166667,3.108333333
79.07583333,74.58666667,74.43333333,75.41666667,3.105833333
78.93833333,74.50083333,74.325,75.2,3.105833333
78.99833333,74.55416667,74.3,75.075,3.106666667
78.8875,74.63833333,74.31666667,75.125,3.109166667
79.2425,74.63416667,74.375,75.125,3.114166667
79.23583333,74.64666667,74.60833333,75.375,3.114
81.0775,76.30909091,75.41666667,75.88333333,3.095454545
80.4275,76.93,75.56666667,75.7,3.095
81.4125,79.2475,76.00833333,75.975,3.083333333
80.90916667,78.38916667,75.93333333,75.85833333,3.085
81.6675,81.59416667,76.35833333,76.13333333,3.070833333
80.6025,81.5775,75.9,75.425,3.0775
79.85583333,78.30916667,75.68333333,75.08333333,3.076666667
80.58916667,82.8625,75.98333333,75.69166667,3.066666667
80.5125,83.88583333,75.8,75.34166667,3.061666667
81.33833333,83.6925,76.375,75.69166667,3.048333333
79.6775,84.17083333,75.86666667,75.17272727,3.056363636
80.97666667,83.71916667,76.43333333,75.15,3.05
80.69583333,84.23333333,76.55,75.35,3.045833333
80.51916667,83.75416667,76.175,75.34166667,3.0525
79.56916667,83.87166667,75.40833333,74.95,3.065833333
