,ExtCondensTurbineOP.steam_flow_in,ExtCondensTurbineOP.steam_pressure_in,ExtCondensTurbineOP.steam_temperature_in,ExtCondensTurbineOP.electricity_generation,ExtCondensTurbineOP.steam_pressure_out,ExtCondensTurbineOP.steam_temperature_out,ExtCondensTurbineOP.steam_flow_side,ExtCondensTurbineOP.steam_pressure_side,ExtCondensTurbineOP.steam_temperature_side
2020/9/4 0:00,52.03083333,3.294166667,420.915,9.4,-87.89416667,47.08,0,0.729166667,309.6425
2020/9/4 0:01,51.51166667,3.289166667,420.6433333,9.325,-87.935,47.05333333,0,0.724166667,309.9891667
2020/9/4 0:02,51.89166667,3.270833333,420.5091667,9.378333333,-87.87083333,47.04,0,0.731666667,310.5133333
2020/9/4 0:03,51.9125,3.273333333,420.43,9.375,-87.82833333,46.94583333,0,0.730833333,310.9541667
2020/9/4 0:04,51.97833333,3.263333333,420.3966667,9.406666667,-87.78333333,46.99666667,0,0.735833333,311.3616667
2020/9/4 0:05,52.14666667,3.265833333,420.4725,9.45,-87.74916667,46.92333333,0,0.738333333,311.6516667
2020/9/4 0:06,52.23333333,3.268333333,420.4641667,9.4575,-87.70833333,47.0125,0,0.740833333,311.77
2020/9/4 0:07,53.39636364,3.246363636,420.2936364,9.634545455,-87.65090909,46.99,0,0.760909091,311.8809091
2020/9/4 0:08,52.83,3.24,419.9508333,9.544166667,-87.61916667,47.0475,0,0.751666667,312.2933333
2020/9/4 0:09,51.14666667,3.288333333,419.48,9.274166667,-87.83416667,47.09083333,0,0.720833333,311.4858333
2020/9/4 0:10,51.94,3.299090909,419.3563636,9.400909091,-87.79545455,47.09636364,0,0.733636364,310.68
2020/9/4 0:11,52.305,3.305,419.4675,9.44,-87.73833333,47.05166667,0,0.736666667,310.4708333
2020/9/4 0:12,52.67083333,3.299166667,419.5,9.495,-87.69583333,47.03916667,0,0.741666667,310.4058333
2020/9/4 0:13,52.14454545,3.302727273,419.5609091,9.422727273,-87.75,47.03,0,0.733636364,310.2990909
2020/9/4 0:14,52.94333333,3.2675,419.9658333,9.5175,-87.7175,47.035,0,0.749166667,310.4616667
2020/9/4 0:15,51.37416667,3.269166667,420.8258333,9.244166667,-87.82083333,47.04166667,0,0.718333333,310.5
2020/9/4 0:16,52.99272727,3.21,421.5745455,9.499090909,-87.80090909,46.94727273,0,0.746363636,310.5818182
2020/9/4 0:17,49.375,3.230833333,422.3833333,8.980833333,-88.00333333,47.05916667,0,0.694166667,310.7875
2020/9/4 0:18,48.107,3.256,422.885,8.821,-88.292,46.99,0,0.67,309.107
2020/9/4 0:19,48.17,3.257272727,423.6136364,8.810909091,-88.30909091,46.89909091,0,0.67,307.7781818
2020/9/4 0:20,48.295,3.263333333,424.4258333,8.848333333,-88.30083333,46.66666667,0,0.675833333,307.12
2020/9/4 0:21,48.1425,3.254166667,424.7625,8.805,-88.28,46.54416667,0,0.670833333,306.6816667
2020/9/4 0:22,48.2725,3.274166667,424.9666667,8.828333333,-88.2525,46.4225,0,0.675833333,306.2991667
2020/9/4 0:23,48.58333333,3.298333333,425.0958333,8.8875,-88.22083333,46.36083333,0,0.68,305.8525
2020/9/4 0:24,48.85833333,3.31,425.1175,8.9225,-88.16666667,46.38916667,0,0.681666667,305.415
2020/9/4 0:25,51.35083333,3.2975,425.1583333,9.244166667,-88.07916667,46.36666667,0,0.718333333,305.3041667
2020/9/4 0:26,54.10833333,3.225,424.9566667,9.646666667,-87.97166667,46.45,0,0.764166667,306.8925
2020/9/4 0:27,50.25666667,3.2675,424.5741667,9.103333333,-87.98583333,46.63083333,0,0.710833333,307.9841667
2020/9/4 0:28,52.835,3.249166667,423.8441667,9.441666667,-88.01,46.79166667,0,0.740833333,307.1716667
2020/9/4 0:29,49.045,3.255,423.41,8.8925,-88.06166667,46.81083333,0,0.688333333,307.4991667
2020/9/4 0:30,48.023,3.25,422.839,8.754,-88.25,46.902,0,0.67,306.304
2020/9/4 0:31,45.79583333,3.249166667,422.235,8.315,-88.43166667,46.7375,0,0.635833333,305.4333333
2020/9/4 0:32,43.66333333,3.3125,422.0641667,7.851666667,-89.44,46.60666667,0,0.591666667,305.8666667
2020/9/4 0:33,48.1225,3.263333333,422.8316667,8.775833333,-89.36583333,46.27583333,0,0.668333333,305.8691667
2020/9/4 0:34,47.93454545,3.253636364,423.5354545,8.697272727,-89.28818182,46.16272727,0,0.665454545,305.3627273
2020/9/4 0:35,47.8625,3.255833333,423.9158333,8.708333333,-89.24166667,46.17166667,0,0.665833333,305.2433333
2020/9/4 0:36,47.851,3.245,424.216,8.697,-89.2,46.182,0,0.663,305.043
2020/9/4 0:37,47.68818182,3.239090909,424.6481818,8.678181818,-89.16454545,46.19454545,0,0.662727273,304.7809091
2020/9/4 0:38,45.36166667,3.275833333,424.8566667,8.219166667,-89.15916667,46.165,0,0.6275,304.6416667
2020/9/4 0:39,47.57909091,3.253636364,425.2263636,8.659090909,-89.07636364,46.11363636,0,0.660909091,304.5118182
2020/9/4 0:40,47.32916667,3.245833333,425.4183333,8.608333333,-89.02,45.9175,0,0.659166667,304.1975
2020/9/4 0:41,44.46916667,3.270833333,425.2183333,8.011666667,-89.11333333,45.97166667,0,0.614166667,304.0033333
2020/9/4 0:42,38.78416667,3.333333333,425.0383333,6.843333333,-89.86,45.8125,0,0.521666667,304.8383333
2020/9/4 0:43,45.64583333,3.3,425.185,8.241666667,-90.03333333,45.55,0,0.6225,306.145
2020/9/4 0:44,47.155,3.27,425.5425,8.563333333,-89.9425,45.30583333,0,0.6525,305.0041667
2020/9/4 0:45,47.90333333,3.2575,425.3383333,8.724166667,-89.85166667,45.29833333,0,0.664166667,304.4033333
2020/9/4 0:46,47.88272727,3.257272727,424.9936364,8.73,-89.79363636,45.44363636,0,0.665454545,304.19
2020/9/4 0:47,47.96181818,3.263636364,424.8618182,8.743636364,-89.75090909,45.52272727,0,0.67,304.0363636
2020/9/4 0:48,48.19909091,3.273636364,424.7418182,8.78,-89.70181818,45.61454545,0,0.67,303.9090909
2020/9/4 0:49,48.33166667,3.299166667,424.8783333,8.801666667,-89.6525,45.70166667,0,0.671666667,303.7916667
2020/9/4 0:50,49.09636364,3.304545455,425.2963636,8.936363636,-89.58181818,45.79363636,0,0.683636364,303.7436364
2020/9/4 0:51,51.95,3.29,425.7766667,9.334166667,-89.50166667,45.86916667,0,0.726666667,304.1225
2020/9/4 0:52,56.14666667,3.225,426.2258333,10.015,-89.37833333,46.1225,0,0.793333333,306.3716667
2020/9/4 0:53,51.71583333,3.233333333,425.8791667,9.385833333,-89.36833333,46.4025,0,0.735833333,307.9591667
