BackPresTurbineOP.steam_flow_in,BackPresTurbineOP.steam_pressure_in,BackPresTurbineOP.steam_temperature_in,BackPresTurbineOP.steam_pressure_out,BackPresTurbineOP.steam_temperature_out,BackPresTurbineOP.electricity_generation
28.9975,3.424166667,442.07,0.76,338.9775,1.095
28.943,3.418,441.391,0.761,339.136,1.085
29.00272727,3.422727273,440.7481818,0.77,339.21,1.086363636
29.497,3.375,439.945,0.77,339.115,1.126
29.93636364,3.34,438.9263636,0.77,338.5318182,1.154545455
30.171,3.331,437.714,0.77,337.71,1.163
30.27363636,3.336363636,436.3118182,0.77,336.7854545,1.172727273
30.17272727,3.32,435.2836364,0.77,335.9672727,1.161818182
30.18454545,3.300909091,434.2545455,0.77,335.3036364,1.15
30.22454545,3.287272727,433.5709091,0.77,334.7927273,1.148181818
30.291,3.279,432.783,0.77,334.207,1.149
30.373,3.279,431.91,0.77,333.598,1.156
30.39909091,3.275454545,431.3627273,0.77,332.9290909,1.151818182
30.441,3.267,431.05,0.776,332.569,1.143
30.52636364,3.278181818,431.2745455,0.78,332.4009091,1.150909091
30.10545455,3.297272727,432.0009091,0.78,332.2618182,1.110909091
28.92,3.3,433.101,0.777,332.844,1.014
28.17636364,3.331818182,434.1309091,0.77,333.8509091,0.963636364
27.23416667,3.35,435.6141667,0.761666667,335.405,0.910833333
26.80181818,3.387272727,437.0254545,0.76,336.8409091,0.889090909
26.46363636,3.391818182,438.5745455,0.749090909,338.0409091,0.876363636
27.82,3.375454545,440.2063636,0.74,338.9709091,1.011818182
29.64416667,3.359166667,441.44,0.728333333,338.2591667,1.191666667
31.685,3.373,442.474,0.707,336.444,1.42
37.27454545,3.341818182,442.9290909,0.701818182,332.5909091,1.880909091
40.95,3.306,443.28,0.702,328.197,2.102
42.67727273,3.364545455,443.1290909,0.71,324.8554545,2.246363636
44.16833333,3.329166667,442.9866667,0.7125,322.8358333,2.305833333
45.49416667,3.295833333,442.8783333,0.723333333,321.9458333,2.340833333
46.33181818,3.257272727,442.6018182,0.734545455,321.7372727,2.345454545
45.402,3.245,441.73,0.74,321.948,2.257
45.49666667,3.214166667,440.9533333,0.74,322.3466667,2.235833333
46.07090909,3.202727273,440.3763636,0.745454545,322.6863636,2.248181818
45.975,3.213,440.101,0.75,323.011,2.237
43.01545455,3.281818182,439.96,0.742727273,323.2754545,2.103636364
40.135,3.345,440.3483333,0.734166667,323.275,1.996666667
38.51818182,3.375454545,440.7490909,0.727272727,323.1090909,1.926363636
38.015,3.368,441.113,0.72,322.904,1.895
38.756,3.368,441.35,0.72,322.64,1.949
39.14727273,3.358181818,441.2227273,0.72,322.2681818,1.974545455
39.17333333,3.329166667,440.5483333,0.72,321.7683333,1.961666667
39.584,3.29,439.757,0.72,321.569,1.958
40.02181818,3.265454545,438.8709091,0.72,321.2590909,1.969090909
40.52909091,3.269090909,437.9781818,0.72,321.0018182,1.997272727
40.72181818,3.274545455,437.3327273,0.72,320.4645455,2.014545455
40.88909091,3.286363636,436.8972727,0.72,319.9936364,2.029090909
40.937,3.297,436.62,0.717,319.409,2.047
40.38916667,3.3175,436.5533333,0.706666667,318.7866667,2.043333333
39.77454545,3.341818182,436.9063636,0.698181818,318.0390909,2.036363636
38.69,3.373333333,437.5755556,0.684444444,317.3844444,2.008888889
38.90818182,3.39,438.4572727,0.68,316.7563636,2.058181818
40.51727273,3.374545455,439.4572727,0.68,316.0690909,2.16
42.776,3.361,440.46,0.689,315.703,2.281
44.24416667,3.3375,441.455,0.69,315.7166667,2.3525
