ExtCondensTurbineOP.steam_flow_in,ExtCondensTurbineOP.steam_pressure_in,ExtCondensTurbineOP.steam_temperature_in,ExtCondensTurbineOP.steam_flow_side,ExtCondensTurbineOP.steam_pressure_side,ExtCondensTurbineOP.steam_temperature_side,ExtCondensTurbineOP.steam_pressure_out,ExtCondensTurbineOP.steam_temperature_out,ExtCondensTurbineOP.electricity_generation
52.0725,3.384166667,436.6575,0,0.7425,321.5691667,-86.64666667,48.08916667,9.604166667
52.6725,3.374166667,436.8758333,0,0.754166667,322.2616667,-86.56166667,47.91833333,9.68
51.18916667,3.414166667,436.7633333,0,0.73,322.4,-86.60333333,47.915,9.495833333
53.48,3.389166667,436.5533333,0,0.7675,322.2641667,-86.54,47.87333333,9.838333333
52.005,3.41,436.1875,0,0.7475,322.855,-86.47416667,47.95166667,9.594166667
53.56583333,3.414166667,435.7191667,0,0.7675,322.3508333,-86.42583333,48.0075,9.835833333
54.18666667,3.386666667,435.5725,0,0.785833333,322.8183333,-86.33833333,48.10833333,9.928333333
53.36,3.408333333,435.4058333,0,0.766666667,322.9691667,-86.31666667,48.27166667,9.756666667
52.8725,3.435,435.2841667,0,0.7575,322.3758333,-86.29166667,48.37416667,9.7025
52.58833333,3.4625,435.3166667,0,0.753333333,321.6516667,-86.25083333,48.47083333,9.686666667
53.21416667,3.4775,435.775,0,0.76,320.9441667,-86.20916667,48.43666667,9.746666667
54.92333333,3.4425,436.2225,0,0.79,320.9866667,-86.14,48.41083333,10.03666667
53.0025,3.453333333,436.4158333,0,0.760833333,321.4766667,-86.13083333,48.47416667,9.725833333
53.53083333,3.440833333,436.5308333,0,0.764166667,320.6875,-86.14333333,48.55583333,9.79
53.48416667,3.435,436.685,0,0.768333333,320.9366667,-86.08666667,48.56166667,9.793333333
54.09,3.433333333,436.6958333,0,0.773333333,320.4933333,-86.11833333,48.53583333,9.879166667
54.0525,3.4025,436.7141667,0,0.78,321.0166667,-86.0425,48.56,9.868333333
52.84333333,3.415,436.4091667,0,0.755833333,320.6783333,-86.11833333,48.60916667,9.674166667
51.59333333,3.426666667,436.2625,0,0.735,320.2083333,-86.2325,48.6075,9.501666667
52.14333333,3.425833333,436.155,0,0.741666667,319.3966667,-86.28916667,48.57666667,9.568333333
52.89083333,3.399166667,436.0675,0,0.754166667,319.4133333,-86.22416667,48.50166667,9.65
51.605,3.41,435.6383333,0,0.735833333,319.5458333,-86.255,48.35666667,9.48
51.54083333,3.415833333,434.9566667,0,0.734166667,319.0158333,-86.32,48.40083333,9.47
52.2225,3.405,434.57,0,0.746666667,318.8683333,-86.3075,48.46083333,9.533333333
52.9775,3.3875,434.1116667,0,0.755,318.64,-86.22416667,48.23666667,9.66
53.00833333,3.389166667,433.7008333,0,0.758333333,318.9608333,-86.17916667,48.30583333,9.666666667
52.44583333,3.4175,433.3191667,0,0.7475,318.1875,-86.195,48.36833333,9.575833333
52.46416667,3.443333333,433.3808333,0,0.7475,317.345,-86.16916667,48.32666667,9.588333333
51.7975,3.473333333,433.6283333,0,0.735,316.2166667,-86.23083333,48.37583333,9.49
57.29666667,3.381666667,433.9341667,0,0.815,315.8016667,-86.22083333,48.2875,10.06666667
61.3775,3.275,433.9316667,2.605833333,0.813333333,316.715,-86.17416667,48.3775,10.33166667
62.30916667,3.254166667,433.2833333,4.919166667,0.819166667,315.4533333,-86.18833333,48.50583333,10.14916667
61.87583333,3.2375,432.4733333,4.2375,0.819166667,314.2933333,-86.19666667,48.62833333,10.04833333
61.8225,3.198333333,431.9641667,5.416666667,0.819166667,314.2541667,-86.21666667,48.61,10.02583333
60.78333333,3.189166667,431.5966667,5.944166667,0.808333333,314.19,-86.3775,48.5275,9.761666667
61.55083333,3.236666667,431.5491667,9.7075,0.808333333,312.48,-87.11583333,48.3875,9.389166667
62.11666667,3.261666667,432.2508333,9.825,0.81,311.2266667,-87.21833333,48.26333333,9.469166667
63.49833333,3.255833333,433.2875,9.734166667,0.81,311.0766667,-87.12833333,47.955,9.706666667
63.905,3.28,433.7825,10.00166667,0.808333333,311.6075,-87.05166667,47.7875,9.773333333
63.24,3.330833333,433.9558333,10.77833333,0.808333333,311.2541667,-87.08583333,47.705,9.608333333
69.71416667,3.31,434.0325,17.72583333,0.805,311.1808333,-87.1775,47.7225,10.0875
69.61,3.310833333,433.9458333,17.89416667,0.803333333,313.4558333,-87.0975,47.6575,10.0525
70.6125,3.310833333,433.49,19.00583333,0.803333333,314.2391667,-87.0525,47.64416667,10.14333333
71.92833333,3.31,433.0783333,22.45666667,0.7925,314.415,-87.045,47.66333333,10.05833333
73.33666667,3.31,432.5491667,24.97333333,0.794166667,314.0883333,-87.17833333,47.66583333,10.06
76.53333333,3.368333333,432.1458333,25.98666667,0.805833333,313.455,-87.1275,47.52083333,10.59083333
78.8625,3.361666667,431.8225,26.14083333,0.805833333,312.2508333,-87.00666667,47.52083333,11.11833333
78.32,3.389166667,432.0858333,25.59583333,0.804166667,311.6841667,-86.955,47.67333333,11.01333333
81.25666667,3.366666667,432.3,26.5425,0.810833333,311.3133333,-86.8575,47.89583333,11.59666667
82.005,3.3575,432.4508333,26.44166667,0.81,310.6341667,-86.7925,47.96583333,11.76583333
82.105,3.361666667,433.0966667,26.2325,0.81,310.18,-86.74,48.335,11.81166667
84.36083333,3.445833333,433.6958333,28.96333333,0.803333333,309.5741667,-86.69833333,48.48,12.06666667
