ExtCondensTurbineOP.steam_flow_in,ExtCondensTurbineOP.steam_flow_side,ExtCondensTurbineOP.electricity_generation
74.7975,27.46666667,10.65333333
74.70083333,27.75,10.495
71.765,26.9475,9.99
70.99916667,28.39333333,9.65
71.7825,28.63916667,9.806666667
72.42416667,29.98,9.7675
72.30083333,30.05416667,9.718333333
72.0125,29.65333333,9.685833333
73.18583333,30.245,9.876666667
75.8775,32.1325,10.26
75.1525,31.44916667,10.2925
75.21333333,30.27083333,10.3425
76.29666667,32.01333333,10.42083333
82.2775,36.90083333,10.93
79.36416667,34.07833333,10.6675
77.94666667,32.65,10.52
71.37666667,31.6,9.214166667
72.09,31.245,9.430833333
71.85,30.57583333,9.489166667
72.12416667,31.39333333,9.458333333
72.2075,31.62833333,9.4475
72.45833333,31.8475,9.454166667
71.59916667,30.95416667,9.374166667
70.16166667,30.24583333,9.216666667
71.47916667,31.80833333,9.285833333
70.06666667,29.9575,9.235
74.94166667,32.91333333,9.913333333
74.95083333,30.48583333,10.205
74.72666667,31.59333333,9.975833333
73.29,31.2625,9.7175
74.48916667,34.01666667,9.585
75.685,35.26333333,9.666666667
74.79416667,35.765,9.416666667
75.015,36.98583333,9.300833333
75.19416667,37.21,9.280833333
75.50083333,37.15416667,9.269166667
74.26166667,37.2775,8.940833333
74.0675,37.10583333,8.821666667
73.23083333,36.58916667,8.730833333
73.3875,36.67083333,8.753333333
72.91083333,36.16916667,8.728333333
72.94166667,35.81333333,8.740833333
73.42416667,35.89166667,8.848333333
73.38666667,35.655,8.908333333
74.33166667,36.53833333,8.9975
74.80916667,36.84833333,9.035833333
74.66916667,36.91666667,8.9875
75.31333333,36.77666667,9.136666667
74.91833333,36.49833333,9.109166667
75.45666667,36.62666667,9.160833333
75.075,36.14666667,9.13
74.90583333,35.91416667,9.106666667
75.17166667,35.63583333,9.2075
73.3625,33.62083333,9.0825
74.935,33.94166667,9.374166667
72.53166667,31.15583333,9.241666667
72.75916667,31.43666667,9.2625
73.73333333,31.68916667,9.5
73.74833333,31.865,9.491666667
74.95916667,32.9475,9.574166667
74.42,32.89583333,9.504166667
74.21416667,32.7575,9.466666667
74.81,33.48,9.495
76.3175,35.15916667,9.633333333
76.11,34.48416667,9.595833333
74.615,33.00083333,9.479166667
74.29416667,32.70166667,9.4475
74.26666667,32.5925,9.426666667
74.29,32.5425,9.425
74.56583333,32.695,9.459166667
73.535,31.77833333,9.386666667
73.415,31.68083333,9.386666667
73.37416667,31.45666667,9.390833333
72.575,31.03,9.3575
73.90916667,32.01083333,9.479166667
72.74416667,31.27416667,9.341666667
72.55666667,31.085,9.314166667
71.89583333,30.37333333,9.275833333
71.67833333,30.25583333,9.268333333
71.69166667,30.24666667,9.270833333
74.11916667,31.84,9.521666667
74.28083333,31.73166667,9.6025
74.21,31.50333333,9.5925
73.91916667,31.37416667,9.551666667
74.33166667,31.34,9.596666667
74.475,29.73416667,9.831666667
74.10833333,30.65833333,9.610833333
73.01333333,29.9225,9.449166667
72.8625,30.3525,9.359166667
73.995,31.36416667,9.456666667
72.40583333,30.27833333,9.235833333
73.02583333,30.88333333,9.289166667
71.82666667,29.97833333,9.190833333
71.46666667,29.82416667,9.1325
71.93416667,30.48916667,9.163333333
71.00833333,29.53666667,9.1025
71.40416667,30.0475,9.1675
69.8775,28.96166667,9.056666667
70.80916667,29.79,9.120833333
71.5375,30.59916667,9.2275
70.86916667,29.71,9.215
74.695,31.6625,9.7725
78.02166667,29.82916667,10.66833333
77.77916667,30.43416667,10.5525
77.90583333,30.0975,10.61166667
77.66916667,30.1525,10.56666667
77.13,30.1675,10.43416667
76.46833333,31.17916667,10.2025
75.8725,31.2825,10.035
75.23083333,31.14583333,9.9
74.92166667,31.3275,9.8475
74.87,31.2,9.815
74.86666667,31.15583333,9.846666667
74.9525,29.49583333,10.05666667
73.18333333,29.72166667,9.670833333
71.19166667,29.06916667,9.315
69.86083333,28.49916667,9.043333333
70.44916667,29.04166667,9.130833333
69.09583333,27.87,8.9925
70.57,29.77583333,9.09
71.075,30.53333333,9.078333333
72.3525,32.10916667,9.125
72.68416667,32.715,9.149166667
72.325,33.81916667,8.921666667
73.4425,35.16583333,8.984166667
73.0075,34.94333333,8.9
72.4475,35.84833333,8.666666667
72.65083333,36.33333333,8.608333333
72.02,36.70833333,8.460833333
71.71333333,36.97916667,8.278333333
71.98166667,36.82833333,8.330833333
71.57333333,36.33916667,8.3325
71.5925,36.24083333,8.331666667
72.04083333,36.08333333,8.4425
71.89666667,34.64666667,8.5875
72.56166667,33.44166667,8.9025
71.95666667,32.685,8.924166667
73.88,33.38,9.248333333
72.51083333,32.03333333,9.134166667
73.57666667,33.415,9.234166667
72.77833333,32.895,9.143333333
74.43,34.44666667,9.3175
73.67416667,33.7875,9.264166667
73.33916667,34.18083333,9.198333333
73.89416667,34.07,9.263333333
74.07166667,33.8775,9.324166667
73.24666667,33.01833333,9.286666667
72.765,33.4525,9.306666667
72.72416667,32.7725,9.231666667
72.93833333,31.21666667,9.483333333
72.46833333,30.72583333,9.481666667
73.64416667,30.215,9.7825
77.60166667,31.08833333,10.46416667
77.72416667,30.40166667,10.55583333
78.08583333,30.2275,10.66916667
78.0925,30.19666667,10.645
77.18,31.51,10.3175
78.4325,33.19833333,10.30416667
77.37333333,31.9525,10.2725
76.57416667,31.84,10.15083333
77.74833333,32.88083333,10.195
76.40583333,31.97416667,10.04833333
78.74666667,34.18333333,10.20083333
78.0375,33.60833333,10.15833333
77.82666667,35.24,9.965
79.70333333,36.98583333,10.01333333
79.64333333,37.70166667,9.921666667
77.695,35.55333333,9.795
77.485,35.6775,9.740833333
77.43416667,35.98583333,9.705
79.57666667,37.0275,9.876666667
76.63583333,33.63583333,9.848333333
77.7975,34.85,9.831666667
76.96,34.32666667,9.774166667
76.815,34.815,9.716666667
78.31583333,36.3075,9.73
77.49333333,35.9475,9.6625
77.81166667,36.47666667,9.616666667
76.97833333,35.7925,9.598333333
76.1575,35.05333333,9.56
76.5025,35.18,9.584166667
76.75,34.465,9.6975
76.02333333,33.85583333,9.719166667
76.535,34.63583333,9.723333333
77.12666667,35.725,9.7275
77.74833333,36.41583333,9.713333333
77.25333333,36.00333333,9.678333333
77.60666667,36.24833333,9.650833333
78.01,37.30666667,9.644166667
77.99833333,37.11166667,9.619166667
77.89666667,37.0475,9.588333333
78.27,36.48916667,9.735
77.4875,35.8175,9.730833333
76.99166667,35.63666667,9.681666667
76.88583333,35.27333333,9.6725
76.9475,35.48833333,9.681666667
76.44416667,34.73666667,9.685833333
76.3475,34.53166667,9.710833333
76.53666667,34.6775,9.7225
76.88166667,35.22416667,9.73
77.2175,35.76833333,9.724166667
77.74666667,36.26583333,9.73
77.9625,37.02416667,9.720833333
78.88333333,37.9325,9.725833333
78.46333333,37.78916667,9.670833333
78.1,37.21416667,9.671666667
77.525,36.41833333,9.674166667
77.0275,35.205,9.7425
76.99666667,34.48,9.819166667
78.395,34.89166667,10.04416667
78.52333333,35.41333333,9.993333333
78.58333333,35.94833333,9.94
77.8225,35.345,9.8875
77.81666667,35.8075,9.840833333
78.76083333,36.90833333,9.849166667
77.5075,36.24833333,9.770833333
78.55333333,37.65166667,9.76
78.98833333,38.055,9.709166667
79.82416667,38.96333333,9.7
79.405,38.87916667,9.606666667
79.94083333,39.38583333,9.57
79.99583333,39.585,9.556666667
79.85083333,39.17416667,9.543333333
77.9725,37.5975,9.4325
79.92333333,39.4425,9.540833333
77.99,37.61416667,9.466666667
78.5125,38.28416667,9.501666667
79.615,39.04,9.598333333
78.265,37.84916667,9.594166667
79.68416667,38.83666667,9.696666667
78.4175,37.55666667,9.755833333
79.15083333,37.85916667,9.800833333
