ExtCondensTurbineOP.steam_flow_in,ExtCondensTurbineOP.steam_flow_side,ExtCondensTurbineOP.electricity_generation,ExtCondensTurbineOP.,ExtCondensTurbineOP.,ExtCondensTurbineOP.
80.1225,32.63083333,10.78583333,,,
80.665,33.1925,10.68666667,,,
76.725,30.19916667,10.36166667,,,
75.82583333,31.45666667,9.988333333,,,
75.61833333,31.5625,9.935,,,
75.7175,32.64666667,9.876666667,,,
75.72666667,33.14166667,9.815,,,
75.45833333,33.60166667,9.71,,,
70.33416667,31.1925,8.983333333,,,
64.09083333,30.02083333,7.949166667,,,
65.78833333,31.7825,8.088333333,,,
65.4175,31.03666667,8.155,,,
65.9575,30.43416667,8.245833333,,,
64.7325,26.36,8.506666667,,,
64.81916667,23.46416667,8.84,,,
64.39666667,22.68666667,8.8275,,,
65.60166667,22.66666667,9.063333333,,,
65.3425,21.35166667,9.129166667,,,
65.13833333,21.0025,9.121666667,,,
64.68916667,21.18916667,9.0125,,,
64.805,21.79583333,8.921666667,,,
64.25666667,21.3525,8.846666667,,,
64.45416667,21.93916667,8.836666667,,,
64.79583333,22.44083333,8.854166667,,,
64.69916667,21.96333333,8.86,,,
65.06833333,22.78333333,8.8825,,,
64.5275,21.56,8.885,,,
64.1475,21.07583333,8.878333333,,,
64.05,20.82166667,8.874166667,,,
64.24083333,21.6575,8.850833333,,,
64.22833333,22.74083333,8.745,,,
65.04583333,24.27583333,8.685,,,
64.0475,24.045,8.595,,,
65.44333333,26.475,8.603333333,,,
65.905,27.04916667,8.546666667,,,
66.335,28.16083333,8.520833333,,,
65.48166667,27.40083333,8.403333333,,,
65.83166667,27.80583333,8.395833333,,,
64.44083333,26.59583333,8.2975,,,
64.49,26.57083333,8.2975,,,
64.30333333,25.82666667,8.29,,,
63.18333333,24.60916667,8.25,,,
63.35333333,25.08083333,8.259166667,,,
62.9475,24.705,8.238333333,,,
64.90416667,26.91,8.326666667,,,
63.48,25.4975,8.279166667,,,
63.08583333,24.73916667,8.265,,,
63.8075,25.11583333,8.346666667,,,
63.30916667,24.19166667,8.375833333,,,
63.535,24.25583333,8.384166667,,,
63.94166667,24.56833333,8.444166667,,,
62.91,23.03916667,8.423333333,,,
63.35833333,23.27916667,8.520833333,,,
63.53833333,22.76666667,8.631666667,,,
63.3925,21.12916667,8.7425,,,
63.79083333,21.095,8.896666667,,,
64.0525,21.64583333,8.911666667,,,
63.93083333,20.53916667,9.050833333,,,
64.1875,21.05333333,9.040833333,,,
64.1025,21.38083333,8.955833333,,,
64.36833333,22.42916667,8.945833333,,,
64.64166667,22.85833333,8.919166667,,,
64.88333333,23.745,8.905,,,
64.55583333,23.18083333,8.871666667,,,
64.55666667,23.06166667,8.855,,,
64.93,22.765,8.973333333,,,
64.9925,23.125,8.975,,,
65.04916667,22.81333333,8.9525,,,
65.01,22.84416667,8.953333333,,,
64.855,22.04333333,9.039166667,,,
64.8625,22.3025,9.013333333,,,
64.8225,21.96333333,9.031666667,,,
64.78333333,21.95166667,9.078333333,,,
64.85083333,21.56333333,9.110833333,,,
64.7575,21.0625,9.155,,,
64.9825,22.09666667,9.0925,,,
64.995,22.50166667,9.058333333,,,
65.01666667,22.27833333,9.038333333,,,
65.10333333,22.42083333,9.036666667,,,
63.51583333,20.05166667,8.8875,,,
62.78416667,18.64583333,8.729166667,,,
62.68666667,18.75916667,8.72,,,
62.62583333,18.98666667,8.71,,,
62.23666667,18.83416667,8.650833333,,,
62.76916667,18.835,8.788333333,,,
63.82583333,18.86416667,9.18,,,
63.2625,19.54583333,9.000833333,,,
62.795,19.65166667,8.853333333,,,
62.35083333,19.69083333,8.704166667,,,
61.68083333,18.2075,8.691666667,,,
61.5475,18.86333333,8.5975,,,
61.35916667,18.6425,8.500833333,,,
61.39583333,18.7625,8.481666667,,,
61.74,19.63083333,8.486666667,,,
61.86,19.98,8.465833333,,,
61.9875,20.20583333,8.465,,,
62.4075,19.44333333,8.614166667,,,
60.715,17.015,8.403333333,,,
61.66333333,18.44833333,8.41,,,
61.44166667,18.08916667,8.4025,,,
60.465,16.2875,8.366666667,,,
60.39083333,16.3525,8.386666667,,,
61.2675,15.57583333,8.750833333,,,
60.67833333,14.60583333,8.688333333,,,
61.75833333,16.26666667,8.773333333,,,
62.01166667,16.965,8.794166667,,,
62.18416667,17.70916667,8.7975,,,
61.11166667,16.99833333,8.585,,,
61.42916667,17.80416667,8.555833333,,,
60.28166667,16.10333333,8.376666667,,,
60.13916667,15.98916667,8.3325,,,
59.71333333,15.40416667,8.290833333,,,
60.08083333,16.10416667,8.349166667,,,
60.59833333,16.78666667,8.420833333,,,
60.6425,17.39916667,8.395,,,
61.32083333,19.09333333,8.479166667,,,
61.45833333,19.61166667,8.4875,,,
61.57166667,18.45916667,8.5875,,,
61.7225,18.46916667,8.65,,,
61.9025,19.19,8.6,,,
61.845,19.77916667,8.543333333,,,
61.58916667,19.97,8.443333333,,,
61.67083333,20.50166667,8.4,,,
61.2375,20.50916667,8.300833333,,,
62.07916667,21.70416667,8.24,,,
61.7375,22.0475,8.1725,,,
61.83833333,22.08916667,8.125833333,,,
63.43833333,24.46416667,8.140833333,,,
62.56333333,24.40416667,8.041666667,,,
64.26916667,26.6475,8.1175,,,
62.825,24.44416667,7.998333333,,,
60.8125,22.28833333,7.905833333,,,
61.05583333,22.72416667,7.914166667,,,
60.73916667,22.37666667,7.923333333,,,
60.83833333,21.63,8.004166667,,,
61.01,21.30416667,8.151666667,,,
61.6475,21.73833333,8.246666667,,,
62.02916667,21.00833333,8.353333333,,,
62.77166667,21.27166667,8.5175,,,
63.155,21.87083333,8.560833333,,,
63.4175,21.78833333,8.666666667,,,
63.54916667,22.23833333,8.658333333,,,
63.62583333,22.44333333,8.666666667,,,
63.94833333,22.93,8.71,,,
64.07333333,23.26583333,8.7425,,,
64.01083333,21.005,8.963333333,,,
64.30833333,22.045,8.99,,,
64.27,22.53916667,8.98,,,
64.61916667,22.28916667,9.008333333,,,
64.41,20.82833333,9.1375,,,
64.71083333,20.44333333,9.283333333,,,
62.61,17.51416667,9.053333333,,,
61.21583333,15.52166667,8.8975,,,
61.60583333,16.39,8.9625,,,
63.27166667,18.2,9.215833333,,,
63.295,18.565,9.146666667,,,
62.80916667,19.12,8.958333333,,,
62.32583333,19.41666667,8.810833333,,,
61.9025,19.1225,8.714166667,,,
61.71333333,19.28666667,8.6675,,,
61.56666667,19.02,8.665,,,
61.68,19.38583333,8.671666667,,,
61.03583333,18.76166667,8.5425,,,
61.02166667,19.98916667,8.465833333,,,
61.22833333,20.74083333,8.394166667,,,
61.81416667,21.84666667,8.338333333,,,
61.81083333,22.0175,8.295,,,
62.04083333,22.19083333,8.2875,,,
60.725,20.89416667,8.208333333,,,
60.73166667,21.12083333,8.19,,,
61.33,21.85333333,8.18,,,
60.38083333,20.39666667,8.093333333,,,
61.135,20.365,8.216666667,,,
61.12333333,19.73083333,8.313333333,,,
60.22833333,19.42,8.256666667,,,
62.01166667,22.00916667,8.275,,,
60.5675,20.52333333,8.1725,,,
61.44083333,21.87666667,8.175,,,
60.49333333,20.60166667,8.115,,,
59.47833333,19.4025,8.066666667,,,
59.97833333,20.09083333,8.079166667,,,
61.09083333,21.00166667,8.231666667,,,
60.48166667,20.25083333,8.23,,,
60.615,20.42166667,8.226666667,,,
60.8425,21.34083333,8.21,,,
61.11333333,21.15416667,8.213333333,,,
61.1575,21.54333333,8.196666667,,,
61.11583333,21.06166667,8.198333333,,,
61.10333333,21.59166667,8.158333333,,,
61.31833333,22.1625,8.149166667,,,
61.3175,22.2175,8.1275,,,
61.39916667,22.07,8.138333333,,,
60.71666667,21.08916667,8.131666667,,,
60.97083333,21.68666667,8.1525,,,
61.1875,21.9925,8.166666667,,,
61.41583333,22.13166667,8.185,,,
61.6375,22.32333333,8.2375,,,
61.94583333,22.53583333,8.299166667,,,
62.08333333,22.51416667,8.31,,,
62.21166667,22.89666667,8.31,,,
61.96666667,22.9575,8.275833333,,,
61.92416667,22.54833333,8.28,,,
61.85,22.56583333,8.245,,,
61.65333333,22.47083333,8.225,,,
61.88583333,22.70833333,8.209166667,,,
61.56916667,22.29666667,8.1925,,,
61.53916667,22.14333333,8.19,,,
62.01166667,22.53333333,8.283333333,,,
62.04583333,21.78,8.403333333,,,
61.86416667,20.18583333,8.5675,,,
61.5575,19.88166667,8.520833333,,,
61.66583333,20.465,8.465833333,,,
62.0575,21.08416667,8.439166667,,,
61.42166667,20.965,8.365833333,,,
62.02083333,22.1325,8.34,,,
61.1875,21.33833333,8.248333333,,,
61.72916667,22.75,8.225833333,,,
62.47833333,24.01833333,8.190833333,,,
62.81833333,24.84666667,8.1675,,,
63.22833333,25.86333333,8.118333333,,,
63.11083333,25.80833333,8.056666667,,,
63,25.63916667,8.003333333,,,
62.95583333,25.42833333,7.9725,,,
61.85333333,24.43083333,7.9125,,,
62.83583333,25.73916667,7.949166667,,,
62.09416667,25.05583333,7.9125,,,
62.1925,25.3125,7.939166667,,,
63.11333333,25.83,8.014166667,,,
62.06166667,24.41333333,8.034166667,,,
62.8175,25.23333333,8.095833333,,,
