日期,实际产量,实际能耗
2013/10/4,4546.2624,405538
2013/11/3,4756.5855,392156
2013/10/21,4077.523,323061
2013/11/26,5885.224,450841
2013/12/19,2285.6237,167550
2013/11/4,5293.74,385229
2013/11/10,5066.1858,368429
2013/10/14,4466.244,321589
2013/11/5,6336.1425,451683
2013/11/1,5021.141,356840
2013/10/22,4796.7115,335054
2013/11/2,5982.1454,415763
2013/11/12,5720.9125,393013
2013/12/21,6716.7839,461120
2013/10/13,4613.42,315318
2013/10/18,4175.112,285063
2013/10/5,5013.924,337506
2013/11/17,7912.458,531718
2013/10/28,3878.102,258421
2013/11/13,6914.0435,455729
2013/10/20,4353.318,286181
2013/11/6,6972.2265,457467
2013/10/24,4389.3835,287767
2014/8/1,7563.4095,494906
2013/10/7,4789.9385,309675
2013/10/23,4671.543,301917
2013/10/10,4356.174,280208
2013/10/29,4584.5615,294407
2013/11/28,8043.8065,512902
2013/10/6,4687.83,298347
2013/11/8,7084.8148,450044
2013/10/15,4306.645,271717
2013/12/24,7431.442,467596
2013/10/9,4890.477,307169
2013/10/30,5590.5047,350301.0245
2014/7/20,7617.4325,471171.1209
2013/10/17,4733.0665,292704
2014/9/1,7605.419,467778
2014/6/6,6382.451,392478.1997
2014/7/25,7176.4968,440774.459
2014/7/12,6045.5895,371187.1981
2014/7/13,8160.397,500978.0413
2014/7/14,8401.962,515706.9226
2014/6/7,7811.803,479233.9561
2014/1/2,6745.7945,413431
2014/7/23,8159.5175,499526.2143
2014/7/22,7474.9835,457280.2808
2014/6/8,8180.165,500247.1258
2014/7/24,8889.601,542798.1392
2014/7/21,8915.336,544150.3248
2014/7/28,7204.1074,439015.2276
2014/7/29,8156.237,497014.7151
2013/10/26,4896.422,298251
2014/7/26,10276.941,625885.1914
2014/7/15,8283.444,504446.97
2014/6/4,6542.727,398266.6834
2014/7/27,8342.902,507739.591
2014/7/16,8831.477,537210.934
2014/6/5,8763.965,532209.6826
2014/7/30,9319.7209,565582.3753
2014/7/11,4941.8182,299811.9349
2014/7/31,8910.6725,539264.0632
2013/10/11,4798.382,287413
2014/7/19,7043.3875,421260.4643
2014/8/2,8769.1659,524279.0691
2014/7/18,5885.6945,351230.6799
2013/10/3,8418.0165,501179
2014/1/5,7050.224,418467
2014/7/10,6556.936,388672.4196
2014/6/3,7826.869,463679.6813
2014/7/6,7314.908,431976.2848
2013/11/16,8385.8405,495218
2014/7/7,9102.8605,537200.089
2013/10/27,5038.5625,297308
2014/7/17,6336.048,373614.598
2014/7/1,7973.0424,469822
2014/6/2,8004.441,470879.2685
2014/7/8,8823.7855,517993.2398
2013/11/11,8269.1625,485222
2014/7/3,8241.4865,481270.517
2013/10/31,4845.506,282716
2014/6/1,8415.9395,490968.7408
2014/7/9,10303.589,600325.7256
2013/12/2,8441.7915,491266
2013/10/1,8655.9325,503008
2014/7/5,8456.667,490820.1692
2013/10/12,5217.204,302207
2013/12/13,8374.117,483863
2014/8/31,8052.0405,465193.6176
2014/8/29,7956.9571,459683.0455
2014/8/6,8190.9415,472805.5655
2014/8/30,8410.4795,485387.7073
2014/8/28,8109.1142,467578.3349
2014/8/27,4677.5345,268780.2124
2014/7/4,8713.503,500486.5022
2013/11/7,8437.2291,484011
2014/8/3,9208.281,526472.8432
2014/8/5,6714.2285,383326.0492
2014/8/14,7484.401,426945.4246
2013/12/31,8136.507,463714
2014/8/22,7996.7575,455479.4441
2014/8/15,8908.8516,507275.8682
2014/9/19,6893.652,392166.9773
2014/8/18,8759.6365,498265.4219
2014/8/17,8343.226,474444.089
2014/8/11,7987.4006,454165.5653
2014/8/16,9198.1905,522854.4863
2014/8/24,7822.525,444622.5744
2014/8/12,8735.1775,496081.5736
2014/8/26,8125.308,461350.5325
2014/8/21,7801.942,442744.7577
2014/8/9,8138.4555,461813.2676
2014/8/23,9846.5105,558279.2915
2014/8/19,8685.649,492369.9249
2013/11/14,9334.4595,528735
2014/8/25,9108.7005,515771.2125
2014/7/2,9544.6995,540340.4937
2014/8/8,8610.6363,487238.1167
2014/8/7,9579.9591,541974.5516
2014/8/13,9304.2835,526365.0905
2013/10/16,5117.058,289397
2014/8/20,9120.8765,515435.6125
2014/9/17,7270.6031,410355.7545
2014/8/10,9151.4718,516445.3341
2014/9/18,9500.357,535845.94
2014/9/10,8200.1945,461951.1494
2014/9/12,7138.223,400733.9445
2014/9/9,8566.3795,480441.4548
2013/11/29,9007.411,504317
2014/9/15,7269.7155,407023.0349
2014/9/16,8679.955,485973.3711
2014/9/8,8205.6685,458293.8109
2014/9/13,8617.3603,481263.0387
2014/8/4,8058.7965,449204.8355
2014/9/14,8834.4473,491373.9498
2014/9/11,9891.5205,550120.124
2013/12/15,8746.6487,486447
2014/9/2,10047.0757,558178.1859
2013/10/2,9285.2735,515363
2014/9/6,8897.4439,493340.8127
2014/9/7,8885.421,492650.7196
2013/12/6,8553.781,472728
2013/12/17,7735.9618,426752
2013/12/18,9582.5805,526863
2014/9/5,7743.7795,425261.1154
2013/11/22,9287.5005,509345
2013/12/28,8324.4565,454818
2013/10/8,5420.4325,295408
2013/11/19,9248.272,502160
2014/2/10,6782.13,365516.5438
2014/2/11,8561.3585,461344.9802
2014/5/31,8898.8562,478687.3973
2013/12/25,8565.977,459647
2014/5/30,9118.593,489147.0159
2014/2/12,9257.5898,496582.1565
2014/5/29,8858.161,474454.7591
2013/10/19,5371.1375,287307
2014/5/28,9650.815,516196.0138
2014/5/22,8412.7295,449936.7858
2014/5/27,8412.7295,449936.7858
2014/2/13,9494.9135,506999.0134
2013/12/22,10015.7085,533923
2014/2/9,4780.2198,254825.8966
2014/2/14,9220.1053,491065.6658
2014/5/21,8756.5495,466004.4339
2014/5/26,8756.5495,466004.4339
